epoch,train_recon,val_recon,val_cos_sim,val_state_loss
0,0.114000,0.129965,0.970284,0.02181139
1,0.079400,0.104921,0.978494,0.00588079
2,0.068000,0.097426,0.980625,0.00289299
3,0.060800,0.088082,0.983460,0.00182736
4,0.074600,0.080590,0.985739,0.00130129
5,0.055300,0.079797,0.985750,0.00121297
6,0.053000,0.078834,0.986355,0.00157410
7,0.053800,0.073553,0.987475,0.00124264
8,0.057000,0.077139,0.986597,0.00147545
9,0.056500,0.072233,0.987876,0.00070902
10,0.046400,0.064431,0.989899,0.00087358
11,0.055700,0.070715,0.988260,0.00062242
12,0.048000,0.067172,0.989258,0.00078357
13,0.045700,0.064011,0.989927,0.00072203
14,0.040300,0.069565,0.988312,0.00054490
15,0.041300,0.061484,0.990481,0.00069801
16,0.041000,0.061710,0.990543,0.00080312
17,0.048900,0.070619,0.988229,0.00050257
18,0.041600,0.061758,0.990332,0.00053309
19,0.042300,0.057694,0.991376,0.00045013
20,0.038300,0.059624,0.990929,0.00035711
21,0.041400,0.060351,0.990680,0.00036828
22,0.041800,0.060672,0.990537,0.00059969
23,0.034200,0.062201,0.990336,0.00043190
24,0.041900,0.052597,0.992310,0.00041450
25,0.039400,0.056431,0.991532,0.00039451
26,0.044100,0.060909,0.990408,0.00057569
27,0.036300,0.056778,0.991260,0.00039795
28,0.039700,0.054732,0.991904,0.00062735
29,0.041400,0.056222,0.991392,0.00042136
30,0.033600,0.057995,0.991112,0.00030922
31,0.033900,0.060718,0.990391,0.00043417
32,0.040500,0.058591,0.990954,0.00033054
33,0.043600,0.056704,0.991513,0.00036144
34,0.039000,0.055922,0.991561,0.00031313
35,0.040200,0.055006,0.991577,0.00045423
36,0.038500,0.054248,0.991904,0.00042035
37,0.037600,0.063288,0.989767,0.00056031
38,0.033400,0.059087,0.990799,0.00045757
39,0.039200,0.056127,0.991665,0.00038877
